"screen_name","text","stripped_text1"
"Frommers","Our hack for figuring out the name of that mystery #Hotwire #hotel. 

https://t.co/uOMZjKLlXX https://t.co/HVGwqFb9aJ","Our hack for figuring out the name of that mystery #Hotwire #hotel. 

 "
"Frommers","Our hack for figuring out the name of that hidden #Hotwire #hotel: https://t.co/uOMZjKLlXX https://t.co/kXwVcw1989","Our hack for figuring out the name of that hidden #Hotwire #hotel:  "
"Frommers","How much more expensive is #Airbnb than a #hotel stay?

New data: https://t.co/KU0IuxCBIr https://t.co/lRZ6waegbJ","How much more expensive is #Airbnb than a #hotel stay?

New data:  "
"Frommers","#DisneyWorld's newest #hotel opened last week and our own @JasCochran visited.
Here's his take on it: https://t.co/WJMmF5B9lN https://t.co/fzhFy1xNJU","#DisneyWorld's newest #hotel opened last week and our own @JasCochran visited.
Here's his take on it:  "
"Frommers","Follow these 5 tips to avoid sticker shock when paying for a #hotel room. 
https://t.co/xyPWljm6f8 https://t.co/Fnd0bxyqBc","Follow these 5 tips to avoid sticker shock when paying for a #hotel room. 
 "
"Frommers","How much more expensive is #Airbnb than a #hotel room?

New data: https://t.co/KU0IuxCBIr https://t.co/AhaYPafqzj","How much more expensive is #Airbnb than a #hotel room?

New data:  "
"Frommers","Look inside #WaltDisneyWorld's newest #hotel, the rather un-Disney-like #SwanReserve: https://t.co/WJMmF5B9lN

#Travel #DisneyWorld #Disneylife #Disney https://t.co/o82fdrryAe","Look inside #WaltDisneyWorld's newest #hotel, the rather un-Disney-like #SwanReserve: 

#Travel #DisneyWorld #Disneylife #Disney "
"Frommers","How much more expensive is #Airbnb than a #hotel room?
New data: https://t.co/KU0IuxCBIr https://t.co/CpP2QPfkgt","How much more expensive is #Airbnb than a #hotel room?
New data:  "
"Visit__World","6 Reasons To Get The World Of Hyatt Business Card https://t.co/f3u3COxvgE #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide","6 Reasons To Get The World Of Hyatt Business Card  #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide"
"Visit__World","Guide To The Capital One Venture X $300 Annual Travel Credit https://t.co/2ryGI7I9yX #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide","Guide To The Capital One Venture X $300 Annual Travel Credit  #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide"
"Visit__World","England + Rest Of The UK Return To Require PCR-RT Test Upon Return https://t.co/kjy5xu6Kmh #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions","England + Rest Of The UK Return To Require PCR-RT Test Upon Return  #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions"
"Visit__World","Lufthansa Cuts Free Liquor In Long Haul Economy https://t.co/s1BLH4yOzM #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide","Lufthansa Cuts Free Liquor In Long Haul Economy  #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide"
"Visit__World","Save On Delta Flights With Amex Offers (Targeted) https://t.co/6nf53ZOH5C #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide","Save On Delta Flights With Amex Offers (Targeted)  #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide"
"Visit__World","Promo: 15% Cash Back (Or 15x Amex Points) With Rakuten https://t.co/ONv9JE37ce #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide","Promo: 15% Cash Back (Or 15x Amex Points) With Rakuten  #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide"
"Visit__World","Fairmont Selling Gift Cards With 20% Bonus https://t.co/xR7TklvEWQ #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide","Fairmont Selling Gift Cards With 20% Bonus  #Globetrotters #Travel #TravelTips #Touring #CityGuide #CityBreak #Photo #Tourism #Hotel #Resort #Adventure #TravelGuide"
"Visit__World","Radisson Rewards Americas Buy Points 100% Bonus Sale Through December 1, 2021 https://t.co/jfrO0NTzGO #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions","Radisson Rewards Americas Buy Points 100% Bonus Sale Through December 1, 2021  #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions"
"Visit__World","Aegean Miles+Bonus Sign Up Offer: 6,000 Award + 1,000 Bonus Miles! https://t.co/9a3RnRXIEB #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions","Aegean Miles+Bonus Sign Up Offer: 6,000 Award + 1,000 Bonus Miles!  #Globetrotter #Travel #Photography #Vacation #Hotel #Resort #TravelDeals #TravelTips #Trip #Journey #CityBreak #Excursions"
